date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Brescia,Varese,26.45205479452055,1,30,5,11,0.455,4,8,0.5,1,4,0.25,0,3,3,2,1,0,2,0,15,9.400000000000002,1
2018-10-14,Brescia,Reggio Emilia,26.471232876712328,0,16,3,8,0.375,0,3,0.0,0,0,0.0,1,0,1,2,0,0,3,2,6,-0.09999999999999964,-5
2018-10-21,Brescia,Trieste,26.49041095890411,0,27,8,17,0.471,5,9,0.556,2,3,0.667,1,2,3,1,2,0,3,0,23,14.899999999999999,0
2018-10-27,Brescia,Avellino,26.506849315068493,0,26,4,12,0.333,2,5,0.4,0,0,0.0,1,5,6,4,0,0,0,1,10,7.800000000000001,4
2018-11-04,Brescia,Pesaro,26.528767123287672,0,21,4,7,0.000,0,0,0.0,2,3,0.667,0,1,1,3,0,0,1,1,10,7.299999999999999,13
2018-11-10,Brescia,Trentino,26.545205479452054,1,29,6,10,0.600,5,9,0.556,0,0,0.0,0,1,1,2,2,0,3,1,17,12.699999999999998,5
2018-11-18,Brescia,Brindisi,26.567123287671233,1,35,1,10,0.100,0,7,0.0,0,0,0.0,0,3,3,1,0,0,0,3,2,-4.2,-2
2018-11-25,Brescia,Torino,26.586301369863016,1,28,4,9,0.444,1,5,0.2,0,0,0.0,1,2,3,3,1,0,1,3,9,6.499999999999999,-8
2018-12-16,Brescia,Cantù,26.643835616438356,1,20,1,5,0.200,1,5,0.2,0,0,0.0,0,3,3,3,0,0,0,0,3,2.8999999999999995,9
2018-12-23,Reggio Emilia,Trieste,26.663013698630138,0,12,2,7,0.286,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,2,5,0.40000000000000036,-9
2018-12-25,Reggio Emilia,Virtus Bologna,26.66849315068493,1,33,7,13,0.538,4,9,0.444,0,0,0.0,0,1,1,2,2,0,3,1,18,12.000000000000002,-15
2018-12-30,Reggio Emilia,Venezia,26.682191780821917,1,31,7,15,0.467,3,8,0.375,0,0,0.0,1,2,3,3,0,0,0,3,17,11.5,5
2019-01-06,Reggio Emilia,Pesaro,26.7013698630137,1,24,2,7,0.286,0,3,0.0,0,0,0.0,1,3,4,5,2,0,2,2,4,4.2,29
2019-01-13,Reggio Emilia,Cremona,26.720547945205478,1,34,4,14,0.286,3,9,0.333,0,0,0.0,0,3,3,2,0,0,3,3,11,0.9000000000000004,-17
2019-01-20,Reggio Emilia,Sassari,26.73972602739726,1,35,7,16,0.438,3,12,0.25,4,5,0.8,0,5,5,5,1,0,1,2,21,16.400000000000002,-12
2019-01-27,Reggio Emilia,Brescia,26.758904109589043,1,32,7,16,0.438,3,7,0.429,1,2,0.5,1,1,2,2,1,0,1,4,18,10.000000000000002,-3
2019-02-03,Reggio Emilia,Torino,26.778082191780822,1,27,7,16,0.438,0,7,0.0,1,1,1.0,1,6,7,1,1,0,4,1,15,6.4,-3
2019-02-09,Reggio Emilia,Cantù,26.794520547945204,1,31,4,13,0.308,3,9,0.333,0,0,0.0,0,2,2,2,0,0,1,2,11,3.7,-9
2019-03-03,Reggio Emilia,Varese,26.854794520547944,1,32,2,12,0.167,1,7,0.143,3,4,0.75,0,0,0,5,0,0,3,3,8,-0.699999999999998,-2
2019-03-11,Reggio Emilia,Milano,26.876712328767123,1,29,9,20,0.450,3,9,0.333,0,0,0.0,0,5,5,1,3,0,2,1,21,13.4,-7
2019-03-17,Reggio Emilia,Avellino,26.893150684931506,1,33,3,11,0.273,0,7,0.0,2,2,1.0,0,3,3,3,0,0,2,2,8,1.7000000000000002,-28
2019-03-24,Reggio Emilia,Pistoia,26.912328767123288,1,33,3,11,0.273,1,5,0.2,5,5,1.0,1,2,3,3,2,0,4,1,12,6.5,-2
2019-03-31,Reggio Emilia,Brindisi,26.93150684931507,1,31,6,14,0.429,2,5,0.4,6,8,0.75,1,4,5,2,1,0,4,2,20,11.299999999999997,0
2019-04-07,Reggio Emilia,Trentino,26.95068493150685,1,25,2,10,0.200,0,6,0.0,1,2,0.5,0,3,3,4,0,0,0,2,5,1.2999999999999996,-6
2019-04-14,Reggio Emilia,Trieste,26.96986301369863,1,28,6,14,0.429,1,5,0.2,0,0,0.0,1,0,1,4,0,0,0,2,13,8.3,-18
2019-05-12,Reggio Emilia,Cremona,27.046575342465754,0,17,3,9,0.333,0,1,0.0,0,0,0.0,0,4,4,2,1,0,0,0,6,4.5,-8
